lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1	nivel_minimo_observado	motivo_seleccion
revelar	8	sí	0	0	1.9216	1	1.2931	1	56.6914	6	105.313	8	B2	B2/C1
huracán	6	sí	0	0	2.9415	1	0.7224	1	0	0	26.3283	2	C1	B2/C1
grieta	6	sí	0	0	0	0	0	0	0	0	18.9428	2	C1	B2/C1
culpa	6	sí	7.1507	1	2.9415	1	22.9634	5	58.0517	8	71.7298	6	B1	B1 con evidencia B2/C1
inspiración	6	sí	0	0	0	0	10.6787	3	6.8912	2	8.5078	1	B1	B1 con evidencia B2/C1
asombroso	5	sí	0	0	0	0	5.1144	2	0	0	17.0156	2	B1	B1 con evidencia B2/C1
dañar	5	sí	0	0	0	0	4.2521	2	23.2818	4	25.5235	3	B1	B1 con evidencia B2/C1
orgullo	4	sí	0	0	1.0067	1	3.0199	2	3.4744	1	18.9428	2	B1	B1 con evidencia B2/C1
ceremonia	4	sí	0	0	2.9415	1	75.9856	14	10.4233	3	297.807	11	B1	B1 con evidencia B2/C1
burro	4	sí	0	0	1.3169	1	7.8205	3	24.1194	4	26.3283	2	B1	B1 con evidencia B2/C1
gota	4	sí	7.1507	1	2.9415	1	13.6397	3	17.3266	3	8.5078	1	B1	B1 con evidencia B2/C1
derrumbar	4	sí	0	0	0	0	0	0	6.8912	2	0	0	B2	B2/C1
brillo	3	sí	0	0	0	0	0	0	12.2342	2	9.4714	1	B2	B2/C1
surgir	3	sí	0	0	1.3169	1	68.3588	14	105.995	16	129.764	9	B1	B1 con evidencia B2/C1
esforzar	2	sí	0	0	0	0	0	0	11.6409	2	26.3283	2	B2	B2/C1
madrugada	2	sí	0	0	0.022	1	9.9726	3	11.3324	2	17.0156	2	B1	B1 con evidencia B2/C1
fortalecer	2	sí	6.0172	1	4.2366	1	1.8161	2	3.4744	1	26.3283	2	B1	B1 con evidencia B2/C1
lamentar	2	sí	0	0	0	0	0	0	22.3091	3	38.1253	3	B2	B2/C1
enfrentar	2	sí	5.0445	1	0	0	10.8504	4	34.3684	4	38.1253	3	B1	B1 con evidencia B2/C1
cimiento	2	sí	0	0	0	0	0	0	12.2342	2	0	0	B2	B2/C1
busca	2	sí	4.954	1	1.3169	1	0.4332	1	22.575	3	26.3283	2	B2	B2/C1
profecía	2	sí	0	0	0	0	5.3024	2	0	0	102.094	2	B1	B1 con evidencia B2/C1
cera	2	sí	0	0	1.3169	1	0	0	2.2844	1	26.3283	2	C1	B2/C1
expansión	2	sí	0	0	2.9415	1	4.8032	2	15.6696	5	52.6565	4	B1	B1 con evidencia B2/C1
refugio	1	sí	0	0	1.4122	1	5.1144	2	22.7708	3	26.3283	2	B1	B1 con evidencia B2/C1
descendencia	1	sí	0	0	0	0	0	0	0	0	26.3283	2	C1	B2/C1
enloquecer	1	sí	0	0	2.9415	1	0	0	0	0	25.5235	3	C1	B2/C1
caprichoso	1	sí	0	0	0	0	0.7224	1	17.3266	3	8.5078	1	B2	B2/C1
disculpa	1	sí	0	0	0.1104	1	6.0381	2	15.9925	2	18.9428	2	B1	B1 con evidencia B2/C1
acaso	1	sí	0	0	0	0	8.4144	3	6.8912	2	8.5078	1	B1	B1 con evidencia B2/C1
ángel	1	sí	5.3543	1	0	0	12.0689	3	3.4456	1	58.8744	4	B1	B1 con evidencia B2/C1
aplauso	1	sí	0	0	1.1794	1	0	0	0	0	26.3283	2	C1	B2/C1
gozar	1	sí	0	0	1.0067	1	22.0187	5	36.2886	5	58.8744	5	B1	B1 con evidencia B2/C1
colar	1	sí	0	0	0	0	0.8664	2	22.575	3	9.4714	1	B1	B1 con evidencia B2/C1
florecer	1	sí	0	0	1.0067	1	1.2931	1	4.5688	2	9.4714	1	B2	B2/C1
invisible	1	sí	7.1507	1	0	0	0	0	0.0607	1	48.776	2	C1	B2/C1
milagroso	1	sí	0	0	0	0	0.9081	1	0	0	18.9428	2	C1	B2/C1
cabello	1	sí	7.1507	1	1.4122	1	19.1233	5	3.4456	1	38.1253	2	B1	B1 con evidencia B2/C1
vulnerable	1	sí	0	0	0	0	0	0	10.8198	2	8.5078	1	B2	B2/C1
inclinar	1	sí	0	0	0	0	0.7224	1	31.2609	5	9.4714	1	B2	B2/C1
obvio	1	sí	0	0	0	0	2.5862	2	17.5355	3	38.8023	3	B1	B1 con evidencia B2/C1
imparable	1	sí	0	0	0	0	0.7908	1	11.6409	2	0	0	B2	B2/C1
